縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電
雲林縣,虎尾鎮,YUN-030,23529,19009922,807,20400975,867,21855477,928,28203708,1198
雲林縣,西螺鎮,YUN-040,14255,10735714,753,11742851,823,12491437,876,16317850,1144
雲林縣,土庫鎮,YUN-050,9023,6216098,688,7594926,841,7626668,845,9373506,1038
雲林縣,北港鎮,YUN-060,15769,9329958,591,10644784,675,10897220,691,14370044,911
雲林縣,古坑鄉,YUN-070,10841,6603145,609,6977554,643,7127106,657,8607213,793
雲林縣,大埤鄉,YUN-080,6765,4399291,650,4287499,633,4699502,694,6205509,917
雲林縣,莿桐鄉,YUN-090,9181,5978941,651,6735114,733,7037213,766,8912872,970
雲林縣,林內鄉,YUN-100,5861,3728224,636,3942359,672,4040050,689,5076768,866
雲林縣,二崙鄉,YUN-110,8900,6364394,715,6933052,778,7004421,787,9362256,1051
雲林縣,崙背鄉,YUN-120,8490,5354642,630,6614406,779,6415862,755,8532241,1004
雲林縣,麥寮鄉,YUN-130,13409,6686246,498,7294032,543,7684406,573,10168898,758
雲林縣,東勢鄉,YUN-140,5802,3173242,546,3969938,684,4168260,718,5209797,897
雲林縣,褒忠鄉,YUN-150,4402,2842877,645,3363727,764,3261072,740,4195878,953
雲林縣,臺西鄉,YUN-160,8844,3543501,400,4000712,452,4404729,498,5820641,658
雲林縣,元長鄉,YUN-170,9446,6327711,669,7822420,828,7379718,781,8578901,908
雲林縣,四湖鄉,YUN-180,9077,4208302,463,4375951,482,4842386,533,6070047,668
雲林縣,口湖鄉,YUN-190,9667,3867725,400,4354321,450,4602720,476,5893067,609
雲林縣,水林鄉,YUN-200,10361,4894662,472,6792889,655,6412670,618,7756110,748
嘉義縣,太保市,CYQ-010,11825,8746544,739,9084739,768,9406901,795,12617203,1066
嘉義縣,朴子市,CYQ-020,15144,8868318,585,9842680,649,10064061,664,13610819,898
嘉義縣,布袋鎮,CYQ-030,10186,4580672,449,5019063,492,5295215,519,6930059,680
嘉義縣,大林鎮,CYQ-040,11404,6840658,599,7471084,655,7998445,701,10580884,927
嘉義縣,民雄鄉,CYQ-050,23550,16137027,685,17347963,736,18306018,777,23264498,987
嘉義縣,溪口鄉,CYQ-060,5448,3008427,552,3461415,635,3235399,593,4209748,772
嘉義縣,新港鄉,CYQ-070,10512,6654452,633,6957277,661,7232562,688,9650063,918
嘉義縣,六腳鄉,CYQ-080,9117,4584347,502,4569606,501,5109756,560,6555671,719
嘉義縣,東石鄉,CYQ-090,9499,3687704,388,4070272,428,4353895,458,5617941,591
嘉義縣,義竹鄉,CYQ-100,7564,2796787,369,3048066,402,3300611,436,4194580,554
嘉義縣,鹿草鄉,CYQ-110,5849,2723222,465,2616314,447,2943008,503,3877805,662
嘉義縣,水上鄉,CYQ-120,17650,10791250,611,11380991,644,12026758,681,15561861,881
嘉義縣,中埔鄉,CYQ-130,15782,9071072,574,9444316,598,10204875,646,13119599,831
嘉義縣,竹崎鄉,CYQ-140,11538,6267191,543,6729899,583,6936765,601,8349150,723
嘉義縣,梅山鄉,CYQ-150,6773,3676146,542,4062918,599,3999874,590,4507811,665
嘉義縣,番路鄉,CYQ-160,4273,2286468,535,2358642,551,2443032,571,2758643,645
嘉義縣,大埔鄉,CYQ-170,1931,552460,286,570463,295,581998,301,649417,336
嘉義縣,阿里山鄉,CYQ-180,1926,1341917,696,1342576,697,1391703,722,1335474,693
屏東縣,屏東市,PIF-010,72904,48539522,665,50013907,686,56973950,781,74457057,1021
屏東縣,潮州鎮,PIF-020,18689,13177827,705,13797366,738,15415152,824,19782438,1058
屏東縣,東港鎮,PIF-030,16074,10768091,669,11247761,699,12406258,771,16680745,1037
屏東縣,恆春鎮,PIF-040,11070,6080706,549,6727618,607,7560067,682,9976206,901
屏東縣,萬丹鄉,PIF-050,14569,11924508,818,12551950,861,14263801,979,17785248,1220
屏東縣,長治鄉,PIF-060,9895,5920565,598,6324489,639,6810974,688,8532441,862
屏東縣,麟洛鄉,PIF-070,3653,2507690,686,2330038,637,2739238,749,3371766,923
屏東縣,九如鄉,PIF-080,6709,4529973,675,4564149,680,5021195,748,6297173,938
屏東縣,里港鄉,PIF-090,8007,5621370,702,5849239,730,6512284,813,7909512,987
屏東縣,鹽埔鄉,PIF-100,7805,4324930,554,4707678,603,5274557,675,6383671,817
屏東縣,高樹鄉,PIF-110,9447,3829600,405,4119883,436,4456689,471,5298138,560
屏東縣,萬巒鄉,PIF-120,6462,3463217,535,3798246,587,4080678,631,5010101,775
屏東縣,內埔鄉,PIF-130,18213,12564273,689,12683099,696,13896719,763,17548495,963
屏東縣,竹田鄉,PIF-140,5632,3477145,617,3868518,686,4255687,755,5253469,932
屏東縣,新埤鄉,PIF-150,3397,1773561,522,1905373,560,2037858,599,2496728,734
屏東縣,枋寮鄉,PIF-160,8559,5082941,593,5456766,637,5981710,698,7627699,891
屏東縣,新園鄉,PIF-170,11666,6628351,568,7021429,601,7726196,662,10101120,865
屏東縣,崁頂鄉,PIF-180,4370,2222132,508,2318104,530,2511005,574,3161177,723
屏東縣,林邊鄉,PIF-190,7100,2998126,422,3085085,434,3303629,465,4392533,618
